,0.05,0.25,0.5,0.75,0.95,invest_amount
0,750,750,750,750,750,750
1,1538,1567,1582,1596,1618,750
2,2400,2466,2504,2539,2597,750
3,3340,3460,3528,3592,3699,750
4,4356,4548,4662,4765,4939,750
5,5468,5753,5917,6071,6328,750
6,6682,7081,7307,7524,7882,750
7,8024,8548,8849,9146,9609,750
8,9497,10163,10561,10942,11559,750
9,11105,11955,12452,12954,13743,750
10,12877,13910,14546,15172,16168,750
11,14782,16106,16869,17649,18858,750
12,16938,18540,19487,20440,21939,791
13,19302,21243,22381,23522,25344,791
14,21895,24209,25589,26973,29146,791
15,24768,27475,29138,30802,33401,791
16,27970,31113,33036,35058,38107,791
17,31395,35101,37385,39765,43446,791
18,35203,39518,42215,44990,49335,791
19,39449,44425,47570,50834,55962,791
20,44077,49821,53471,57286,63261,791
21,49154,55785,60054,64469,71469,791
22,54701,62358,67324,72439,80549,791
23,60982,69609,75385,81277,90563,791
24,67866,77660,84395,91161,102130,834
25,75372,86672,94304,102107,114566,834
26,83656,96446,105329,114491,128430,834
27,92627,107315,117472,127857,144417,834
28,102811,119273,130971,142984,162086,834
29,113724,132829,145923,159561,181351,834
30,125973,147472,162589,178086,203130,834
31,139567,163815,181129,198782,227112,834
32,154307,181648,201335,221600,253798,834
33,170405,201541,223881,246595,283736,834
34,188122,223550,248755,275060,317107,834
35,208052,247897,276123,306035,354684,834
36,230299,274962,306684,340761,395044,880
37,254484,304924,340565,379140,440201,880
38,281239,337615,378244,422094,493280,880
39,310659,373799,419900,469370,550277,880
40,343530,413422,466121,522547,611992,880
41,379785,457701,517073,580653,681494,880
42,418581,506586,573699,645835,758803,880
43,461453,561246,635753,717532,846457,880
44,510676,621024,706129,797016,943200,880
45,563770,687310,782944,885267,1053206,880
46,622203,761536,868169,983151,1171881,880
47,686355,843235,961894,1090472,1308958,880
48,755656,933266,1067115,1211774,1453988,929
49,832200,1032266,1181765,1345997,1620461,929
50,919045,1142271,1311498,1496795,1803695,929
51,1014333,1263023,1453598,1659964,2004611,929
52,1115391,1396958,1609326,1844266,2231667,929
53,1236529,1543048,1783380,2046514,2481430,929
54,1365753,1709743,1976583,2272810,2763493,929
55,1504521,1889598,2192029,2526381,3080325,929
56,1665244,2091125,2431156,2801069,3420940,929
57,1833822,2310732,2692102,3108103,3809903,929
58,2026861,2556542,2981286,3452068,4238231,929
59,2236582,2833485,3303366,3828208,4708029,929
60,2463424,3131534,3662770,4249409,5230291,980
61,2715297,3457941,4055053,4716072,5834180,980
62,2996113,3827173,4490651,5238097,6480746,980
63,3304811,4226397,4977572,5804786,7206533,980
64,3643464,4676513,5514335,6445207,8018610,980
65,4021869,5173432,6106156,7152824,8928775,980
66,4438051,5726364,6761965,7936035,9928057,980
67,4887672,6341106,7496464,8803431,11028728,980
68,5402591,7012389,8303158,9765550,12272550,980
69,5955055,7750832,9206404,10829148,13618476,980
70,6576771,8569895,10189899,12014812,15169346,980
71,7259759,9489606,11282446,13338967,16857370,980
72,7997123,10505682,12518806,14796979,18716900,1034
